Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
WordPress Developer / E-Commerce,The Hair Addict,"Maadi, Cairo, Egypt",16 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2+ Yrs of Exp Privacy · Information Technology (IT) Computer Science · WordPress · woocommerce Data Privacy · Troubleshooting · Woocommerce · E-Commerce,https://wuzzuf.net/jobs/p/cgT3gpCQwrUT-WordPress-Developer-E-Commerce-The-Hair-Addict-Cairo-Egypt?o=43&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Engineer,Ashtar.app,"Maadi, Cairo, Egypt",2 months ago,Full Time,Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · 3 - 6 Yrs of Exp Computer Science · Information Technology (IT) · Software Development · SQL · Analysis · Python Big Data,https://wuzzuf.net/jobs/p/fDlF6yYJZ4ER-Data-Engineer-Ashtar-app-Cairo-Egypt?o=44&l=sp&t=sj&a=data%20science|search-v3|hpb
Senior Test Engineer (Team Leader),Confidential,"Nasr City, Cairo, Egypt",10 days ago,Full Time,Manager · IT/Software Development · Engineering - Telecom/Technology · 5 - 8 Yrs of Exp · Automation Computer Science · Information Technology (IT) · Java · Programming · REST · SQL · Testing,https://wuzzuf.net/jobs/p/kMWs6yc4DmBv-Senior-Test-Engineer-Team-Leader-Cairo-Egypt?o=45&l=sp&t=sj&a=data%20science|search-v3|hpb
AI Specialist (on-site),Union Coop,"Dokki, Giza, Egypt",18 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 4+ Yrs of Exp  · AI · Machine Learning Data Science,https://wuzzuf.net/jobs/p/GbI5U5o6xh3Y-AI-Specialist-on-site-Union-Coop-Giza-Egypt?o=46&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Engineer,SSC Egypt,"Giza, Egypt",2 months ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 5 - 8 Yrs of Exp bricks · Azure · BI Data · Engineering · Power BI · Python Databricks · Computer Engineering,https://wuzzuf.net/jobs/p/1VslZp8jAkDF-Data-Engineer-SSC-Egypt-Giza-Egypt?o=47&l=sp&t=sj&a=data%20science|search-v3|hpb
Quality Control Inspector,Confidential,"Cairo, Egypt",19 days ago,Full Time,Experienced · Manufacturing/Production · Quality · 5 - 10 Yrs of Exp Analysis · Control · Quality Control · Medical · Analysis · business · Communication Data Analysis · Quality Assurance,https://wuzzuf.net/jobs/p/dhJYPXSVo4rn-Quality-Control-Inspector-Cairo-Egypt?o=48&l=sp&t=sj&a=data%20science|search-v3|hpb
Senior Business Analyst,Amanah,"Nasr City, Cairo, Egypt",19 days ago,Full Time,Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · 4+ Yrs of Exp · Agile · Analysis · business · Business Analysis · Business Development · Communication · Communication skills,https://wuzzuf.net/jobs/p/Gs8Qy5CmH8xa-Senior-Business-Analyst-Amanah-Cairo-Egypt?o=49&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Analyst,B.TECH,"Nasr City, Cairo, Egypt",2 months ago,Full Time,Experienced · Logistics/Supply Chain · Analyst/Research · 2 - 4 Yrs of Exp Analysis · Analysis Data Analysis · SQL · Power BI · Tableau Computer Science · Economics · business,https://wuzzuf.net/jobs/p/C0r4viLXRo25-Data-Analyst-B-TECH-Cairo-Egypt?o=50&l=sp&t=sj&a=data%20science|search-v3|hpb
Senior Oracle Database Administrator,Egabi FSI,"Heliopolis, Cairo, Egypt",19 days ago,Full Time,Experienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · 4 - 8 Yrs of Exp base · Oracle Database · Information Technology (IT) · Linux Oracle Data Guard · SQL Oracle Database,https://wuzzuf.net/jobs/p/FCF804IKcCeH-Senior-Oracle-Database-Administrator-Egabi-FSI-Cairo-Egypt?o=51&l=sp&t=sj&a=data%20science|search-v3|hpb
Technical Engineer - German Speaker,Expleo,"Maadi, Cairo, Egypt",22 days ago,Full Time,Entry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · 1 - 3 Yrs of Exp · Engineering · Information Technology (IT) · German · English · Java · Technical Support Computer Science,https://wuzzuf.net/jobs/p/3XHRh2pNpOml-Technical-Engineer---German-Speaker-Expleo-Cairo-Egypt?o=52&l=sp&t=sj&a=data%20science|search-v3|hpb
Java Technical Lead,KnowledgeNet,"Nasr City, Cairo, Egypt",23 days ago,Full Time,Manager · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · 6+ Yrs of Exp Computer Science · Computer Engineering · Testing · Design · Spring Stack · Core · MVC,https://wuzzuf.net/jobs/p/sA7odtNxj6a7-Java-Technical-Lead-KnowledgeNet-Cairo-Egypt?o=53&l=sp&t=sj&a=data%20science|search-v3|hpb
SAP ABAP Developer,Confidential,"Mohandessin, Giza, Egypt",22 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2 - 5 Yrs of Exp Migration · ABAP · RFC · IDOCs · Application Development · Adobe Interactive · Adobe Forms · Programming Data Migration,https://wuzzuf.net/jobs/p/K0UDsm8BP3MH-SAP-ABAP-Developer-Giza-Egypt?o=54&l=sp&t=sj&a=data%20science|search-v3|hpb
NLP Engineer,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",24 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2+ Yrs of Exp  · NLP · ML · Machine Learning Data Science · Python · TensorFlow · NumPy,https://wuzzuf.net/jobs/p/EfZo2CfXaON8-NLP-Engineer-Tahaluf-Al-Emarat-Technical-Solutions-Cairo-Egypt?o=55&l=sp&t=sj&a=data%20science|search-v3|hpb
Senior Business Analyst,BITechnologies,"New Cairo, Cairo, Egypt",23 days ago,Full Time,Experienced · IT/Software Development · Analyst/Research · 5+ Yrs of Exp · Business Analysis · business · Business Development Computer Science · Information Technology (IT) Data · Management · IT,https://wuzzuf.net/jobs/p/Vl4pcA1LCfVL-Senior-Business-Analyst-BI-Technologies-Cairo-Egypt?o=56&l=sp&t=sj&a=data%20science|search-v3|hpb
Research & Innovation (Materials and Biopolymers),Chitosan.egypt,"Giza, Giza, Egypt",26 days ago,Internship,Entry Level · R&D/Science · Manufacturing/Production · Analyst/Research · chitosan · Marketing Research Computer Science · R&D · Medical · Plant Pathology · Agriculture,https://wuzzuf.net/jobs/p/WdhuDpxc8MKx-Research-Innovation-Materials-and-Biopolymers-Chitosan-egypt-Giza-Egypt?o=57&l=sp&t=sj&a=data%20science|search-v3|hpb
Research Assistant Internship,Chitosan.egypt,"Giza, Giza, Egypt",26 days ago,Internship,Entry Level · R&D/Science · Analyst/Research · Pharmaceutical · 0 - 1 Yrs of Exp · chitosan · Marketing Research Computer Science · R&D · Medical · Plant Pathology · Agriculture,https://wuzzuf.net/jobs/p/GFztu38LhWO4-Research-Assistant-Internship-Chitosan-egypt-Giza-Egypt?o=58&l=sp&t=sj&a=data%20science|search-v3|hpb
Scientific Community Coordinator,Chitosan.egypt,"Giza, Giza, Egypt",26 days ago,Internship,Entry Level · R&D/Science · Analyst/Research · Pharmaceutical · 0 - 1 Yrs of Exp · chitosan · Marketing Research Computer Science · R&D · Medical · Plant Pathology · Agriculture,https://wuzzuf.net/jobs/p/Oav7zs0hhp5e-Scientific-Community-Coordinator-Chitosan-egypt-Giza-Egypt?o=59&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Center Maintenance Engineer - Cairo,Click ITS,"Nasr City, Cairo, Egypt",2 months ago,Full Time,Experienced · Installation/Maintenance/Repair · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · 4 - 8 Yrs of Exp center · Maintenance · Computer Engineering Data center · Information Technology (IT) Computer Science · Mechanical,https://wuzzuf.net/jobs/p/NJsj0vQinK7B-Data-Center-Maintenance-Engineer---Cairo-Click-ITS-Cairo-Egypt?o=60&l=sp&t=sj&a=data%20science|search-v3|hpb
Senior Digital Data Analyst,Jazeera Paints,"10th of Ramadan City, Cairo, Egypt",2 months ago,Full Time,Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · 3 - 6 Yrs of Exp Analysis · Analysis · Analyst · analytical · business Computer Science Data Data Analysis,https://wuzzuf.net/jobs/p/BYe17loqOtoq-Senior-Digital-Data-Analyst-Jazeera-Paints-Cairo-Egypt?o=61&l=sp&t=sj&a=data%20science|search-v3|hpb
Data Management Lead,BBIConsultancy,"Nasr City, Cairo, Egypt",2 months ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · 6 - 8 Yrs of Exp Computer Science · ETL · NoSQL · Python · Information Technology (IT) Big Data · Programming,https://wuzzuf.net/jobs/p/SdHOKve7F7Ji-Data-Management-Lead-BBI-Consultancy-Cairo-Egypt?o=62&l=sp&t=sj&a=data%20science|search-v3|hpb
