Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Job Link
Senior Java Developer,DMS,"Heliopolis, Cairo, Egypt",26 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 4 - 6 Yrs of Exp · Computer Science · Hibernate · Information Technology (IT) · J2EE Java · Oracle · ORM · Software Development,https://wuzzuf.net/jobs/p/Mae0NNvzkZuf-Senior-Java-Developer-DMS-Cairo-Egypt?o=42&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer (Backend),Aman,"Giza, Egypt",26 days ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 2 - 3 Yrs of Exp · Computer Science · Information Technology (IT) · Computer Engineering · HTML · MVC · CSS · SQL · XML,https://wuzzuf.net/jobs/p/yWDnuccOpHK2-Senior-Java-Developer-Backend-Aman-Giza-Egypt?o=43&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Full-stack Developer,Sceel.io,"Maadi, Cairo, Egypt",29 days ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 5+ Yrs of Exp Java · Android · Debugging · Frameworks · Frontend · Linux · Spring · Spring Boot,https://wuzzuf.net/jobs/p/4xH12n5LtMTx-Senior-Java-Full-stack-Developer-Sceel-io-Cairo-Egypt?o=44&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer (Kotlin),Kick Start Interactive,"Dokki, Giza, Egypt",1 month ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 8+ Yrs of Exp · coding · Computer Science Java · Kotlin · APIs · Information Technology (IT) · Software Engineering · Software Development,https://wuzzuf.net/jobs/p/xJ96OH0F7iFL-Senior-Java-Developer-Kotlin-Kick-Start-Interactive-Giza-Egypt?o=45&l=sp&t=sj&a=java|search-v3|hpb
Senior Java Developer (Remotely),The Group,"Cairo, Egypt",30 days ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 5 - 8 Yrs of Exp Script JavaScript · Spring Boot · AJAX · XPath · MySQL · J2EE · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/0ZW6E1XyT1qS-Senior-Java-Developer-Remotely-The-Group-Cairo-Egypt?o=46&l=sp&t=sj&a=java|search-v3|hpb
Java Developer / Springboot 2,GetTechForce.com,"Cairo, Egypt",1 month ago,Full Time - Work From Home,Experienced · IT/Software Development · Engineering - Telecom/Technology · 3+ Yrs of Exp Java · backend · Computer Science · E2E · Information Technology (IT) · Integration · J2EE · Kafka,https://wuzzuf.net/jobs/p/7OkDdemG9ofX-Java-Developer-Springboot-2-GetTechForce-com-Cairo-Egypt?o=47&l=sp&t=sj&a=java|search-v3|hpb
Java Developer,Perfect Presentation,"6th of October, Giza, Egypt",1 month ago,Full Time,Experienced · IT/Software Development · Engineering - Telecom/Technology · 4 - 6 Yrs of Exp Script Java · Software Development · Information Technology (IT) · Computer Science · MVC · Spring · jQuery JavaScript,https://wuzzuf.net/jobs/p/Qwc3JwqSqi3r-Java-Developer-Perfect-Presentation-Giza-Egypt?o=48&l=sp&t=sj&a=java|search-v3|hpb
Java Senior Technical Lead,LINK Development,"Maadi, Cairo, Egypt",1 month ago,Full Time,Manager · IT/Software Development · Engineering - Telecom/Technology · 10+ Yrs of Exp EE · Information Technology (IT) · Computer Science Java · Computer Engineering · Spring Boot Java EE · Spring MVC · OOP,https://wuzzuf.net/jobs/p/tGkehv2llIkz-Java-Senior-Technical-Lead-LINK-Development-Cairo-Egypt?o=49&l=sp&t=sj&a=java|search-v3|hpb
Tech Lead - Full Stack Java and React.,Cegedim,"New Cairo, Cairo, Egypt",1 month ago,Full Time,Manager · IT/Software Development · Engineering - Telecom/Technology · 5+ Yrs of Exp · Information Technology (IT) · Full Stack · Engineering · Software Development · Computer Science · Development Java · Software,https://wuzzuf.net/jobs/p/XoO9jtyF87qq-Tech-Lead---Full-Stack-Java-and-React-Cegedim-Cairo-Egypt?o=50&l=sp&t=sj&a=java|search-v3|hpb
Full Stack Java And Angular /(R&D),Cegedim,"Cairo, Egypt",1 month ago,Full Time,Experienced · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · 2 - 5 Yrs of Exp · Angular · Computer Science · Engineering · Information Technology (IT) Java · MongoDB · Software Development,https://wuzzuf.net/jobs/p/dYxEJqewISEm-Full-Stack-Java-And-Angular-RD-Cegedim-Cairo-Egypt?o=51&l=sp&t=sj&a=java|search-v3|hpb
